Date,Open
07/18/2019,8151.76
07/17/2019,8224
07/16/2019,8251.66
07/15/2019,8263.18
07/12/2019,8209.2
07/11/2019,8219.28
07/10/2019,8183.19
07/09/2019,8061.41
07/08/2019,8112.91
07/05/2019,8123.28
07/03/2019,8129.57
07/02/2019,8086.65
07/01/2019,8145.85
06/28/2019,7988.76
06/27/2019,7939.36
06/26/2019,7933.92
06/25/2019,8005.27
06/24/2019,8040.58
06/21/2019,8028.69
06/20/2019,8087.45
06/19/2019,7970.26
06/18/2019,7920.98
06/17/2019,7819.43
06/14/2019,7807.19
06/13/2019,7822.56
06/12/2019,7803.13
06/11/2019,7901.04
06/10/2019,7798.87
06/07/2019,7652.97
06/06/2019,7582.24
06/05/2019,7585.68
06/04/2019,7413.94
06/03/2019,7441.21
05/31/2019,7470.95
05/30/2019,7565.46
05/29/2019,7553.02
05/28/2019,7655.66
05/24/2019,7675.57
05/23/2019,7660.72
05/22/2019,7749.8
05/21/2019,7765.57
05/20/2019,7714.06
05/17/2019,7829.03
05/16/2019,7832.58
05/15/2019,7682.8
05/14/2019,7689.66
05/13/2019,7720.07
05/10/2019,7881.31
05/09/2019,7853.21
05/08/2019,7946.24
05/07/2019,8043.52
05/06/2019,7981.85
05/03/2019,8092.88
05/02/2019,8046.48
05/01/2019,8132.93
04/30/2019,8104.91
04/29/2019,8147.65
04/26/2019,8100.28
04/25/2019,8150.85
04/24/2019,8122.88
04/23/2019,8026.75
04/22/2019,7969.37
04/18/2019,7998.45
04/17/2019,8044.97
04/16/2019,8000.57
04/15/2019,7987.16
04/12/2019,7984.15
04/11/2019,7975.2
04/10/2019,7922.73
04/09/2019,7924.77
04/08/2019,7924.89
04/05/2019,7914.51
04/04/2019,7894.26
04/03/2019,7891.18
04/02/2019,7824.61
04/01/2019,7800.24
03/29/2019,7726.71
03/28/2019,7660.07
03/27/2019,7702.05
03/26/2019,7700
03/25/2019,7618.98
03/22/2019,7800.25
03/21/2019,7705.43
03/20/2019,7721.95
03/19/2019,7747.4
03/18/2019,7696.38
03/15/2019,7658.41
03/14/2019,7644.79
03/13/2019,7621.38
03/12/2019,7571.85
03/11/2019,7442.56
03/08/2019,7334.35
03/07/2019,7483.79
03/06/2019,7575.38
03/05/2019,7582.29
03/04/2019,7636.62
03/01/2019,7587.45
02/28/2019,7533.31
02/27/2019,7526.42
02/26/2019,7535.29
02/25/2019,7585.3
02/22/2019,7481.63
02/21/2019,7475.41
02/20/2019,7490.31
02/19/2019,7450.75
02/15/2019,7468.57
02/14/2019,7390.25
02/13/2019,7437.46
02/12/2019,7358.85
02/11/2019,7327.37
02/08/2019,7232.3
02/07/2019,7316.5
02/06/2019,7400.44
02/05/2019,7356.34
02/04/2019,7266.28
02/01/2019,7256.37
01/31/2019,7208.17
01/30/2019,7094.79
01/29/2019,7087.49
01/28/2019,7075.01
01/25/2019,7128.18
01/24/2019,7042.25
01/23/2019,7061.65
01/22/2019,7109.57
01/18/2019,7134.09
01/17/2019,7010.13
01/16/2019,7033.75
01/15/2019,6931.39
01/14/2019,6908.03
01/11/2019,6947.46
01/10/2019,6908.65
01/09/2019,6923.06
01/08/2019,6893.44
01/07/2019,6757.53
01/04/2019,6567.14
01/03/2019,6584.77
01/02/2019,6506.91
12/31/2018,6649.52
12/28/2018,6616.79
12/27/2018,6457.19
12/26/2018,6257.86
12/24/2018,6278.49
12/21/2018,6573.49
12/20/2018,6607.76
12/19/2018,6777.59
12/18/2018,6809.82
12/17/2018,6886.46
12/14/2018,6986.37
12/13/2018,7135.28
12/12/2018,7127
12/11/2018,7121.66
12/10/2018,6959.63
12/07/2018,7163.49
12/06/2018,7017.05
12/04/2018,7407.95
12/03/2018,7486.13
11/30/2018,7279.3
11/29/2018,7267.37
11/28/2018,7135.08
11/27/2018,7041.23
11/26/2018,7026.5
11/23/2018,6919.52
11/21/2018,6985.51
11/20/2018,6867.43
11/19/2018,7217.24
11/16/2018,7193.6
11/15/2018,7112.83
11/14/2018,7265.39
11/13/2018,7230.69
11/12/2018,7364.05
11/09/2018,7468.51
11/08/2018,7544.17
11/07/2018,7446.09
11/06/2018,7326.07
11/05/2018,7344.08
11/02/2018,7424.02
11/01/2018,7327.82
10/31/2018,7276.62
10/30/2018,7017.87
10/29/2018,7272.42
10/26/2018,7125.18
10/25/2018,7197.49
10/24/2018,7423.21
10/23/2018,7328.55
10/22/2018,7486.74
10/19/2018,7530.15
10/18/2018,7616.47
10/17/2018,7669.26
10/16/2018,7501.78
10/15/2018,7473.33
10/12/2018,7507.84
10/11/2018,7388.07
10/10/2018,7694.08
10/09/2018,7728.51
10/08/2018,7747.1
10/05/2018,7874.76
10/04/2018,7993.33
10/03/2018,8034.65
10/02/2018,8024.47
10/01/2018,8091.5
09/28/2018,8024.5
09/27/2018,8021.22
09/26/2018,8011.68
09/25/2018,8001.59
09/24/2018,7939.38
09/21/2018,8041.69
09/20/2018,7993.53
09/19/2018,7962.54
09/18/2018,7903.57
09/17/2018,7992.21
09/14/2018,8026.16
09/13/2018,7999.93
09/12/2018,7958.87
09/11/2018,7894.87
09/10/2018,7939.57
09/07/2018,7878.79
09/06/2018,7998.27
09/05/2018,8073.53
09/04/2018,8087.95
08/31/2018,8079.31
08/30/2018,8094.2
08/29/2018,8044.34
08/28/2018,8039.01
08/27/2018,7989.64
08/24/2018,7907.81
08/23/2018,7886.47
08/22/2018,7844.04
08/21/2018,7840.09
08/20/2018,7834.37
