Date,BTC,Open
2019-04-22,4088.73,11231.00
2019-04-23,4159.42,11147.57
2019-04-24,4306.50,11060.02
2019-04-25,4236.59,10995.20
2019-04-26,4040.56,11475.17
2019-04-27,4086.50,11308.38
2019-04-28,4081.23,11380.99
2019-04-29,4090.45,11228.42
2019-04-30,4057.99,10963.95
2019-05-01,4103.66,11011.33
2019-05-02,4138.83,11038.17
2019-05-03,4224.48,11015.48
2019-05-04,4379.57,11542.84
2019-05-05,4426.53,11248.09
2019-05-06,4404.18,11012.62
2019-05-07,4386.76,10767.63
2019-05-08,4476.08,10707.44
2019-05-09,4597.97,10490.89
2019-05-10,4747.30,10592.00
2019-05-11,4907.88,10586.46
2019-05-12,5541.66,10437.75
2019-05-13,5359.15,Open
2019-05-14,6023.56,15696.83
2019-05-15,6190.17,15895.20
2019-05-16,6378.52,15794.92
2019-05-17,6162.99,15758.98
2019-05-18,5772.20,15722.91
2019-05-19,5714.25,15732.50
2019-05-20,6438.96,15852.14
2019-05-21,6267.88,15547.16
2019-05-22,6261.40,15024.15
2019-05-23,6062.62,15095.72
2019-05-24,6224.15,14751.78
2019-05-25,6285.90,14919.26
2019-05-26,6336.18,15263.10
2019-05-27,6816.84,15245.04
2019-05-28,6941.95,14708.02
2019-05-29,6888.36,14681.83
2019-05-30,6858.63,14582.22
2019-05-31,6599.21,14462.85
2019-06-01,6783.62,14046.22
2019-06-02,6777.00,13481.50
2019-06-03,6917.97,13610.87
2019-06-04,6483.96,13871.77
2019-06-05,6065.85,13710.99
2019-06-06,6163.15,13436.71
2019-06-07,6164.51,13812.19
2019-06-08,6309.79,14277.43
2019-06-09,6241.41,14494.47
2019-06-10,6046.44,14045.83
2019-06-11,6307.26,13958.48
2019-06-12,6229.39,14118.79
2019-06-13,6417.35,13984.43
2019-06-14,6491.60,14368.16
2019-06-15,6901.57,14228.68
2019-06-16,7023.15,14213.62
2019-06-17,7139.00,13768.97
2019-06-18,7443.94,13997.18
2019-06-19,7224.68,14038.92
2019-06-20,7329.03,14004.19
2019-06-21,7495.60,13735.40
2019-06-22,7986.12,13424.36
2019-06-23,8394.82,13511.75
2019-06-24,8513.08,12587.88
2019-06-25,8640.54,13485.26
2019-06-26,9282.52,13570.83
2019-06-27,10253.90,13716.70
2019-06-28,8808.07,13597.53
2019-06-29,9768.21,13837.59
2019-06-30,9398.95,13455.23
2019-07-01,8505.82,13328.36
2019-07-02,8374.11,12800.04
2019-07-03,8587.88,13113.70
2019-07-04,9516.26,13098.35
2019-07-05,8904.38,13229.77
2019-07-06,8771.26,12795.12
2019-07-07,8958.33,12685.23
2019-07-08,9138.72,13119.37
2019-07-09,9814.89,13360.72
2019-07-10,10091.15,13564.63
2019-07-11,9705.94,13860.39
2019-07-12,9066.67,13866.43
2019-07-13,9396.40,13990.35
2019-07-14,9052.69,14001.32
2019-07-15,8159.08,14194.72
2019-07-16,8705.04,14177.21
2019-07-17,7631.43,14500.39
2019-07-18,7800.39,14558.59
2019-07-19,8495.38,14444.78
2019-07-20,8419.60,14269.53
2019-07-21,8620.64,14304.35
2019-07-22,8468.75,14490.26
2019-07-23,8295.98,14002.58
2019-07-24,7950.21,13861.49
2019-07-25,7856.99,13830.47
2019-07-26,7960.39,13547.29
2019-07-27,7971.51,13584.69
2019-07-28,7665.01,13373.12
2019-07-29,7715.00,13647.43
2019-07-30,7794.97,13319.39
2019-07-31,7897.24,13312.44
2019-08-01,8291.94,13665.38
2019-08-02,8578.72,13623.70
2019-08-03,8650.00,13168.80
2019-08-04,8898.63,12749.17
2019-08-05,9021.92,12918.04
2019-08-06,9715.31,12500.88
2019-08-07,9430.86,12712.86
2019-08-08,9845.93,12710.42
2019-08-09,9843.78,12331.69
2019-08-10,9853.40,12511.46
2019-08-11,9428.23,12574.73
2019-08-12,9582.23,12787.52
2019-08-13,9426.39,12246.83
2019-08-14,9026.73,11923.03
